epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,85.9142,3.48227,2.43049,2.25409,0.03582,0.19355,0.029,0.00834,3.44828,2.66415,2.2481,0.00018575,0.00018575,0.00018575
45,87.2438,3.51856,2.37793,2.26845,0.0327,0.18036,0.02102,0.00625,3.43844,2.66112,2.26248,0.000161,0.000161,0.000161
46,88.6483,3.40389,2.45967,2.35595,0.041,0.16925,0.02614,0.00777,3.39207,2.71068,2.27427,0.00013625,0.00013625,0.00013625
47,89.9877,3.48304,2.35056,2.23893,0.04682,0.1855,0.03204,0.00943,3.3157,2.74092,2.26375,0.0001115,0.0001115,0.0001115
48,91.3901,3.42804,2.38209,2.30498,0.04741,0.21587,0.03601,0.01072,3.2298,2.7321,2.23399,8.675e-05,8.675e-05,8.675e-05
49,92.7326,3.50829,2.46533,2.25138,0.04217,0.21002,0.03208,0.01005,3.19837,2.70657,2.21153,6.2e-05,6.2e-05,6.2e-05
50,94.1208,3.43638,2.33907,2.25166,0.04534,0.23444,0.03589,0.01155,3.16622,2.69189,2.17763,3.725e-05,3.725e-05,3.725e-05
1,14.5161,5.56787,4.47006,4.16279,0,0,0,0,5.61341,4.32654,4.15824,5e-05,5e-05,5e-05
2,16.3968,5.64476,4.46951,4.15445,0,0,0,0,5.6134,4.32399,4.15637,0.000111943,0.000111943,0.000111943
3,18.0639,5.39212,4.41963,4.12918,0,0,0,0,5.60996,4.31586,4.15031,0.000173268,0.000173268,0.000173268
4,22.7574,5.4067,4.36041,4.08465,0,0,0,0,5.60445,4.29956,4.13617,0.000233973,0.000233973,0.000233973
5,26.3507,5.3299,4.32849,4.04246,0,0,0,0,5.59225,4.27756,4.11104,0.00029406,0.00029406,0.00029406
6,28.1167,5.48666,4.1628,3.91779,0,0,0,0,5.57271,4.24117,4.0697,0.000353528,0.000353528,0.000353528
7,30.8241,5.23841,3.98356,3.75951,0,0,0,0,5.55193,4.20441,4.03046,0.000412377,0.000412377,0.000412377
8,32.5027,4.89208,3.64625,3.55721,0,0,0,0,5.53131,4.16494,3.99645,0.000470608,0.000470608,0.000470608
9,34.1499,4.74721,3.45853,3.36408,0,0,0,0,5.52197,4.15085,3.98684,0.00052822,0.00052822,0.00052822
10,36.2364,4.67008,3.47611,3.18581,0,0,0,0,5.53079,4.15182,4.00708,0.000585213,0.000585213,0.000585213
11,37.9669,4.38842,3.34887,3.11597,0,0,0,0,5.54099,4.15464,4.02846,0.000641587,0.000641587,0.000641587
12,42.6269,4.37489,3.24554,3.09401,0,0,0,0,5.47605,4.07771,3.93067,0.000697343,0.000697343,0.000697343
13,44.3349,4.23142,3.26796,2.93915,0,0,0,0,5.49195,4.08987,3.9575,0.00075248,0.00075248,0.00075248
14,46.0461,4.20361,3.09264,2.81788,0,0,0,0,5.55185,4.16223,4.05605,0.000806998,0.000806998,0.000806998
15,51.6934,4.11205,3.10501,2.88637,0,0,0,0,5.46583,4.1,3.89954,0.000860897,0.000860897,0.000860897
16,55.4123,4.05882,3.00998,2.71264,0,0,0,0,5.47361,4.09559,3.89541,0.000914178,0.000914178,0.000914178
17,57.0037,4.06187,2.92521,2.7017,0,0,0,0,5.37165,3.99956,3.72032,0.00096684,0.00096684,0.00096684
18,62.9046,4.0604,2.82345,2.60126,0,0,0,0,5.41424,4.03018,3.77675,0.00101888,0.00101888,0.00101888
19,64.5217,3.95262,2.82786,2.59244,0,0,0,0,5.57085,4.15848,3.95764,0.00107031,0.00107031,0.00107031
20,66.1989,4.00001,2.71232,2.48603,0,0,0,0,5.71056,4.32416,4.13324,0.00112111,0.00112111,0.00112111
21,67.7656,3.98792,2.7047,2.47705,0,0,0,0,5.73586,4.31225,4.06659,0.00112625,0.00112625,0.00112625
22,69.4217,3.8228,2.61589,2.3687,0,0,0,0,5.77622,4.68401,4.41775,0.00112006,0.00112006,0.00112006
23,71.0718,3.82181,2.62534,2.43715,0.00073,0.00437,0.00039,0.0001,5.33835,4.15776,3.83239,0.00111388,0.00111388,0.00111388
24,75.5079,3.9111,2.51442,2.32682,0.00856,0.0431,0.00495,0.0014,4.2702,3.0447,3.03747,0.00110769,0.00110769,0.00110769
25,77.2687,3.81694,2.46842,2.33579,0.01003,0.03509,0.00551,0.00132,4.00734,3.96942,2.81986,0.0011015,0.0011015,0.0011015
26,84.4285,3.82499,2.44193,2.28285,0.02952,0.08143,0.01144,0.0038,3.61145,4.37069,2.51234,0.00109531,0.00109531,0.00109531
27,86.3034,3.82552,2.40478,2.28501,0.0377,0.0959,0.01922,0.00588,3.56168,3.92626,2.38634,0.00108913,0.00108913,0.00108913
28,88.492,3.73506,2.42558,2.23646,0.02733,0.05821,0.01549,0.00479,3.42165,5.21604,2.2489,0.00108294,0.00108294,0.00108294
29,90.6961,3.65999,2.44585,2.25111,0.02375,0.06046,0.01287,0.00442,3.46722,7.55627,2.34632,0.00107675,0.00107675,0.00107675
30,92.4335,3.74639,2.41627,2.3167,0.02764,0.1033,0.01349,0.00381,3.42523,4.15849,2.40371,0.00107056,0.00107056,0.00107056
31,94.2177,3.64694,2.41494,2.29709,0.00906,0.10366,0.00586,0.0013,3.66494,3.70432,2.34736,0.00106437,0.00106437,0.00106437
32,98.1703,3.65022,2.36977,2.30554,0.29088,0.1663,0.02344,0.0053,3.9063,3.10934,2.47704,0.00105819,0.00105819,0.00105819
33,99.8762,3.56724,2.38615,2.28718,0.01902,0.047,0.01057,0.00254,3.90199,2.98877,2.50637,0.001052,0.001052,0.001052
34,108.792,3.55541,2.39716,2.29057,0.81531,0.0538,0.0517,0.0141,3.85548,3.08003,2.42546,0.00104581,0.00104581,0.00104581
35,112.613,3.5874,2.35087,2.26446,0.033,0.17552,0.04062,0.01036,3.98734,2.74732,2.60577,0.00103962,0.00103962,0.00103962
36,114.381,3.62442,2.34212,2.18495,0.01664,0.08603,0.01271,0.00383,3.74475,2.81917,2.74523,0.00103344,0.00103344,0.00103344
37,116.054,3.57394,2.36493,2.15624,0.02413,0.13398,0.01689,0.00472,3.52334,3.14797,2.55729,0.00102725,0.00102725,0.00102725
38,127.88,3.53143,2.35406,2.20328,0.03902,0.19929,0.05174,0.00988,3.59364,3.79777,2.48158,0.00102106,0.00102106,0.00102106
39,129.817,3.53408,2.2967,2.16514,0.32218,0.14513,0.04124,0.00696,3.50889,3.53102,2.48217,0.00101488,0.00101488,0.00101488
40,131.576,3.51679,2.39024,2.11365,0.12316,0.18808,0.07302,0.01521,3.18804,3.14922,2.35941,0.00100869,0.00100869,0.00100869
41,133.388,3.48806,2.30763,2.08013,0.05925,0.22289,0.05186,0.01371,3.26108,3.11145,2.34972,0.0010025,0.0010025,0.0010025
42,135.097,3.3904,2.29979,2.10317,0.06418,0.09989,0.0354,0.00782,3.59827,2.73344,2.34989,0.000996313,0.000996313,0.000996313
43,139.508,3.41867,2.30913,2.10299,0.02754,0.11613,0.01983,0.00626,3.32999,2.90807,2.32477,0.000990125,0.000990125,0.000990125
44,145.679,3.42237,2.21624,2.03206,0.03087,0.16201,0.01985,0.0062,3.26186,2.71605,2.2808,0.000983938,0.000983938,0.000983938
