epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,89.412,2.16949,1.40646,1.38686,0.41285,0.35718,0.35407,0.15389,2.1424,2.04954,1.46302,0.00023525,0.00023525,0.00023525
43,90.5127,2.14179,1.38734,1.39823,0.45827,0.40392,0.40413,0.17602,2.18084,1.96317,1.50526,0.0002105,0.0002105,0.0002105
44,91.6657,2.1156,1.37976,1.37366,0.56166,0.41831,0.45293,0.20262,2.18814,1.91223,1.51384,0.00018575,0.00018575,0.00018575
45,92.8243,2.14962,1.31271,1.36037,0.6266,0.42718,0.48062,0.21846,2.19594,1.87891,1.5133,0.000161,0.000161,0.000161
46,93.9848,2.11493,1.31404,1.36511,0.67365,0.44655,0.52634,0.2404,2.19126,1.83604,1.51444,0.00013625,0.00013625,0.00013625
47,95.0992,2.09721,1.27891,1.34547,0.66349,0.45123,0.51398,0.23798,2.16274,1.85602,1.50087,0.0001115,0.0001115,0.0001115
48,96.2438,2.0564,1.35644,1.3676,0.55897,0.47261,0.49025,0.22861,2.14776,1.87257,1.49593,8.675e-05,8.675e-05,8.675e-05
49,97.3742,2.12042,1.32925,1.37691,0.61916,0.4401,0.48829,0.22817,2.15466,1.87112,1.50245,6.2e-05,6.2e-05,6.2e-05
50,98.5176,2.0989,1.31964,1.37618,0.64828,0.4508,0.50502,0.23664,2.16711,1.83195,1.51603,3.725e-05,3.725e-05,3.725e-05
1,17.4328,3.54446,4.29063,2.44482,0,0,0,0,3.36054,4.26141,2.36811,5e-05,5e-05,5e-05
2,24.4985,3.56645,4.29485,2.37837,0,0,0,0,2.77622,4.16761,1.8976,0.000111943,0.000111943,0.000111943
3,26.0793,3.09274,4.10264,1.93493,0.00386,0.00814,0.00345,0.00098,2.44905,4.02487,1.62158,0.000173268,0.000173268,0.000173268
4,27.5565,3.13942,3.65967,1.76451,0.01025,0.02963,0.00767,0.00226,2.43963,3.96118,1.63726,0.000233973,0.000233973,0.000233973
5,39.0877,2.91097,3.18871,1.65504,0.03863,0.28495,0.05211,0.0155,2.69342,3.75913,1.77786,0.00029406,0.00029406,0.00029406
6,40.7184,2.97063,2.79281,1.57235,0.02819,0.24113,0.06114,0.01738,3.10934,3.81655,2.41726,0.000353528,0.000353528,0.000353528
7,42.2391,2.8561,2.62636,1.54009,0.31817,0.26886,0.09895,0.03176,2.40449,3.32863,1.65392,0.000412377,0.000412377,0.000412377
8,43.7236,2.85915,2.3165,1.54403,0.46238,0.28023,0.10203,0.03706,2.55664,3.17844,1.76115,0.000470608,0.000470608,0.000470608
